"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"DEVESH SHAKYA","ETAH","Uttar Pradesh","Lok Sabha",147000000,81351075,55.34,220,106,67.48,65648925,581,581,0,"N/A"
"Gyaneshwar Patil","KHANDWA","Madhya Pradesh","Lok Sabha",155690684.77,86011926,55.25,164,222,42.49,69678758.77000001,459,458,1,"N/A"
"Shri Meda Raghunadha Reddy (2024-30)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",147000000,81094462,55.17,110,139,44.18,65905538,137,131,6,"N/A"
"SHASHANK MANI","DEORIA","Uttar Pradesh","Lok Sabha",147000000,80936917,55.06,45,81,35.71,66063083,142,135,7,"N/A"
"CHANDAN CHAUHAN","BIJNOR","Uttar Pradesh","Lok Sabha",147000000,80796698,54.96,14,102,12.07,66203302,209,189,20,"N/A"
"Shri Narendra Modi","VARANASI","Uttar Pradesh","Lok Sabha",162070276.11,88819703,54.8,191,25,88.43,73250573.11000001,191,155,36,"N/A"
"TARIQ ANWAR","KATIHAR","Bihar","Lok Sabha",147000000,79735060,54.24,60,26,69.77,67264940,82,82,0,"N/A"
"SAVITRI THAKUR","DHAR","Madhya Pradesh","Lok Sabha",147000000,79325366,53.96,179,160,52.8,67674634,481,477,4,"N/A"
"Vijay Kumar Dubey","KUSHI NAGAR","Uttar Pradesh","Lok Sabha",148900000,80256423,53.9,132,90,59.46,68643577,324,324,0,"N/A"
"Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Assam","Rajya Sabha",220563957.11,118006237,53.5,16,150,9.64,102557720.11000001,174,174,0,"N/A"
"Shri Nagendra Ray (2023-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",171500000,91735859,53.49,2,20,9.09,79764141,14,13,1,"N/A"
"Smt Harsimrat Kaur Badal","BHATINDA","Punjab","Lok Sabha",159775982.39,85099499,53.26,147,206,41.64,74676483.38999999,1476,1411,65,"N/A"
"KANWAR SINGH TANWAR","AMROHA","Uttar Pradesh","Lok Sabha",147000000,78135018,53.15,59,46,56.19,68864982,81,81,0,"N/A"
"Vishnu Dayal Ram","PALAMU","Jharkhand","Lok Sabha",158176083.11,83852477,53.01,117,154,43.17,74323606.11000001,333,332,1,"N/A"
"MALVINDER SINGH KANG","ANANDPUR SAHIB","Punjab","Lok Sabha",147000000,77875294,52.98,109,236,31.59,69124706,775,750,25,"N/A"
"KALI CHARAN MUNDA","KHUNTI","Jharkhand","Lok Sabha",147000000,77772545,52.91,31,274,10.16,69227455,240,240,0,"N/A"
"D Ravikumar ","VILUPPURAM","Tamil Nadu","Lok Sabha",197598306.11,104427486,52.85,222,66,77.08,93170820.11000001,229,229,0,"N/A"
"Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",220563957.11,116275421,52.72,118,388,23.32,104288536.11000001,632,629,3,"N/A"
"Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196000000,102738277,52.42,53,55,49.07,93261723,75,75,0,"N/A"
"Shri Anil Firojiya","UJJAIN","Madhya Pradesh","Lok Sabha",147000000,76951399,52.35,152,96,61.29,70048601,288,286,2,"N/A"
"Shankar Lalwani","INDORE","Madhya Pradesh","Lok Sabha",147000000,76896131,52.31,145,137,51.42,70103869,272,272,0,"N/A"
"ANAND BHADAURIYA","DHAURAHRA","Uttar Pradesh","Lok Sabha",147000000,76758938,52.22,132,45,74.58,70241062,360,359,1,"N/A"
"Kalyan Banerjee","SREERAMPUR","West Bengal","Lok Sabha",147000000,76719145,52.19,83,37,69.17,70280855,110,110,0,"N/A"
"Sasikanth Senthil","TIRUVALLUR","Tamil Nadu","Lok Sabha",171500000,89433784,52.15,87,95,47.8,82066216,133,132,1,"N/A"
"Shri Narayanasa K. Bhandage (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147450000,76863625,52.13,87,69,55.77,70586375,164,163,1,"N/A"
"DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",147000000,76341346,51.93,111,115,49.12,70658654,156,156,0,"N/A"
"MURASOLI S","THANJAVUR","Tamil Nadu","Lok Sabha",147000000,76201785,51.84,45,44,50.56,70798215,71,69,2,"N/A"
"KRISHNA DEVI SHIVSHANKER PATEL","BANDA","Uttar Pradesh","Lok Sabha",147000000,75878699.67,51.62,202,240,45.7,71121300.33,341,328,13,"N/A"
"Shri Chunnilal Garasiya (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,75813515,51.57,24,153,13.56,71186485,177,176,1,"N/A"
"Mr Gopal Jee Thakur","DARBHANGA","Bihar","Lok Sabha",147000000,75767756,51.54,59,120,32.96,71232244,156,156,0,"N/A"
"RAMESH AWASTHI","KANPUR","Uttar Pradesh","Lok Sabha",147000000,75758324,51.54,48,66,42.11,71241676,98,98,0,"N/A"
"Bidyut Baran Mahato","JAMSHEDPUR","Jharkhand","Lok Sabha",147000000,75745972,51.53,2,176,1.12,71254028,189,189,0,"N/A"
"VINOD KUMAR BIND","BHADOHI","Uttar Pradesh","Lok Sabha",147000000,75517267,51.37,407,137,74.82,71482733,525,418,107,"N/A"
"Shri Pramod Tiwari (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,100649660,51.34,64,67,48.85,95414297.11000001,219,218,1,"N/A"
"DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR","Punjab","Lok Sabha",147000000,75344197,51.25,93,186,33.33,71655803,1255,1254,1,"N/A"
"Ajay Kumar Mandal","BHAGALPUR","Bihar","Lok Sabha",147000000,75252620,51.19,38,36,51.35,71747380,71,71,0,"N/A"
"Shri Harsh Mahajan (2024-30)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",147000000,74931105,50.97,152,309,32.97,72068895,471,469,2,"N/A"
"UTKARSH VERMA MADHUR","KHERI","Uttar Pradesh","Lok Sabha",147000000,74909150,50.96,347,13,96.39,72090850,699,699,0,"N/A"
"MOHIBBULLAH","RAMPUR","Uttar Pradesh","Lok Sabha",147000000,74744421,50.85,219,161,57.63,72255579,344,300,44,"N/A"
"Pratima Mondal ","JOYNAGAR","West Bengal","Lok Sabha",147000000,74379705,50.6,169,54,75.78,72620295,185,185,0,"N/A"
"RAJESH VERMA","KHAGARIA","Bihar","Lok Sabha",147000000,74186362,50.47,67,9,88.16,72813638,69,69,0,"N/A"
"RADHE SHYAM RATHIYA","RAIGARH","Chhattisgarh","Lok Sabha",159706972.09,80152296,50.19,72,66,52.17,79554676.09,211,209,2,"N/A"
"Smt. Sonia Gandhi (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,73650240,50.1,46,82,35.94,73349760,145,141,4,"N/A"
"PRABHAKAR REDDY VEMIREDDY","NELLORE","Andhra Pradesh","Lok Sabha",147000000,73610054,50.07,123,34,78.34,73389946,136,135,1,"N/A"
"ABHAY KUMAR SINHA","AURANGABAD","Bihar","Lok Sabha",147000000,73566109,50.04,124,147,45.76,73433891,159,158,1,"N/A"
"Shri Surendra Singh Nagar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",220563957.11,109500434.16,49.65,98,200,32.89,111063522.95000002,281,272,9,"N/A"
"Shri Babubhai Jesangbhai Desai (2023-29)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",171500000,84930425,49.52,137,145,48.58,86569575,170,168,2,"N/A"
"ROOP KUMARI CHOUDHARY","MAHASAMUND","Chhattisgarh","Lok Sabha",153035414,75772172,49.51,72,107,40.22,77263242,249,248,1,"N/A"
"RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","Bihar","Lok Sabha",147000000,72622818,49.4,46,125,26.9,74377182,76,76,0,"N/A"
"BALRAM NAIK PORIKA","MAHABUBABAD","Telangana","Lok Sabha",147000000,72320239,49.2,238,121,66.3,74679761,292,292,0,"N/A"
"Gumma Thanuja Rani","ARAKU","Andhra Pradesh","Lok Sabha",149458905.11,73149314,48.94,28,104,21.21,76309591.11000001,90,86,4,"N/A"
"Kalanidhi Veeraswamy","CHENNAI NORTH","Tamil Nadu","Lok Sabha",171500000,83933669,48.94,40,60,40,87566331,57,57,0,"N/A"
"RAJA RAM SINGH","KARAKAT","Bihar","Lok Sabha",147000000,71841783,48.87,114,212,34.97,75158217,191,187,4,"N/A"
"KALIPADA SAREN","JHARGRAM","West Bengal","Lok Sabha",147000000,71784126,48.83,40,23,63.49,75215874,49,48,1,"N/A"
"Shri Abhishek Banerjee","DIAMOND HARBOUR","West Bengal","Lok Sabha",147000000,71510891,48.65,200,120,62.5,75489109,262,262,0,"N/A"
"Andimuthu Raja","NILGIRIS","Tamil Nadu","Lok Sabha",147000000,71485310,48.63,73,41,64.04,75514690,87,87,0,"N/A"
"M.K. VISHNUPRASAD","CUDDALORE","Tamil Nadu","Lok Sabha",147000000,71295556,48.5,74,40,64.91,75704444,90,90,0,"N/A"
"AFZAL ANSARI","GHAZIPUR","Uttar Pradesh","Lok Sabha",220500000,106722563,48.4,35,396,8.12,113777437,285,285,0,"N/A"
"JAI PARKASH","HISAR","Haryana","Lok Sabha",147000000,71088815,48.36,68,375,15.35,75911185,349,330,19,"N/A"
"Kirti Vardhan Singh","GONDA","Uttar Pradesh","Lok Sabha",147000000,71075338,48.35,35,118,22.88,75924662,180,176,4,"N/A"
"BIJULI KALITA MEDHI","GUWAHATI","Assam","Lok Sabha",147000000,71052648,48.34,5,145,3.33,75947352,165,165,0,"N/A"
"Smt. Sudha Murty (2024-30)","Nominated Rajya Sabha","Karnataka","Rajya Sabha",147000000,71000000,48.3,0,10,0,76000000,8,8,0,"N/A"
"Shri Ravi Chandra Vaddiraju (2024-30)","Sitting Rajya Sabha","Telangana","Rajya Sabha",152732534.11,73672123,48.24,107,169,38.77,79060411.11000001,163,162,1,"N/A"
"Bharatsinhji Shankarji Dabhi","PATAN","Gujarat","Lok Sabha",147000000,70906510,48.24,160,157,50.47,76093490,201,198,3,"N/A"
"Jyotsna Charandas Mahant ","KORBA","Chhattisgarh","Lok Sabha",155153738.11,74709092,48.15,136,174,43.87,80444646.11000001,432,428,4,"N/A"
"Prasun Banerjee","HOWRAH","West Bengal","Lok Sabha",147000000,70699743,48.1,136,78,63.55,76300257,158,146,12,"N/A"
"KISHORI LAL","AMETHI","Uttar Pradesh","Lok Sabha",171500000,82481354,48.09,19,31,38,89018646,75,71,4,"N/A"
"Rajnath Singh","LUCKNOW","Uttar Pradesh","Lok Sabha",154808797.11,74407887,48.06,31,71,30.39,80400910.11000001,74,71,3,"N/A"
"Ashok Kumar Yadav ","MADHUBANI","Bihar","Lok Sabha",147000000,70438959,47.92,81,108,42.86,76561041,132,132,0,"N/A"
"AMARSING TISSO","Diphu","Assam","Lok Sabha",147000000,70287578,47.81,41,53,43.62,76712422,193,172,21,"N/A"
"Shri B Y Raghavendra ","SHIMOGA","Karnataka","Lok Sabha",147000000,70061261,47.66,49,213,18.7,76938739,297,296,1,"N/A"
"Smt. Maya Naroliya (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,70041767,47.65,16,140,10.26,76958233,180,172,8,"N/A"
"PRIYA SAROJ","MACHHLISHAHR","Uttar Pradesh","Lok Sabha",147000000,69805592,47.49,725,670,51.97,77194408,1048,1047,1,"N/A"
"Radha Mohan Singh","PURVI CHAMPARAN","Bihar","Lok Sabha",147000000,69803891,47.49,60,64,48.39,77196109,83,83,0,"N/A"
"Mansukhbhai Dhanjibhai Vasava","BHARUCH","Gujarat","Lok Sabha",147000000,69778294,47.47,204,194,51.26,77221706,244,236,8,"N/A"
"Shri G.C. Chandrashekhar (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,69767504,47.46,62,135,31.47,77232496,149,146,3,"N/A"
"Shri Kapil Sibal (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,92839935.12,47.35,64,155,29.22,103224021.99000001,290,279,11,"N/A"
"BALWANT BASWANT WANKHADE","AMRAVATI","Maharashtra","Lok Sabha",198293678,93790658,47.3,51,116,30.54,104503020,120,112,8,"N/A"
"Dr. Sangeeta Balwant (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,68851419.5,46.84,2,383,0.52,78148580.5,254,254,0,"N/A"
"Shri Brij Lal (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,91370638,46.6,113,37,75.33,104693319.11000001,160,159,1,"N/A"
"Swami Sachchidanandhari Sakshi ji Maharaj ","UNNAO","Uttar Pradesh","Lok Sabha",147000000,68421377,46.55,12,77,13.48,78578623,69,62,7,"N/A"
"Thirumaa Valavan Thol","CHIDAMBARAM","Tamil Nadu","Lok Sabha",147000000,68203692,46.4,45,32,58.44,78796308,79,79,0,"N/A"
"Shri V. Vijayendra Prasad (2022-28)","Nominated Rajya Sabha","Andhra Pradesh","Rajya Sabha",196063957.11,90827947,46.33,74,121,37.95,105236010.11000001,113,107,6,"N/A"
"DR. HEMANG JOSHI","VADODARA","Gujarat","Lok Sabha",147000000,68089263,46.32,71,134,34.63,78910737,121,120,1,"N/A"
"Gajendra Singh Patel","KHARGONE","Madhya Pradesh","Lok Sabha",147000000,68043845,46.29,104,232,30.95,78956155,382,381,1,"N/A"
"Dr. Sarfraz Ahmad (2024-30)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",178564551.09,82543604,46.23,20,273,6.83,96020947.09,186,156,30,"N/A"
"RANJIT DUTTA","Sonitpur","Assam","Lok Sabha",147000000,67903341,46.19,22,127,14.77,79096659,327,325,2,"N/A"
"ARUN NEHRU","PERAMBALUR","Tamil Nadu","Lok Sabha",147000000,67653424,46.02,54,28,65.85,79346576,81,81,0,"N/A"
"Shri Hanuman Beniwal","NAGAUR","Rajasthan","Lok Sabha",147000000,67502015,45.92,177,75,70.24,79497985,316,315,1,"N/A"
"Shri Gurjeet Singh Aujla","AMRITSAR","Punjab","Lok Sabha",147000000,67439837,45.88,91,190,32.38,79560163,328,325,3,"N/A"
"Shri Harbhajan Singh (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",220984094.27,101056126.52,45.73,77,119,39.29,119927967.75000001,530,523,7,"N/A"
"Anurag Sharma ","JHANSI","Uttar Pradesh","Lok Sabha",147000000,67201462,45.72,85,83,50.6,79798538,242,235,7,"N/A"
"ANAND KUMAR","BAHRAICH","Uttar Pradesh","Lok Sabha",147000000,66987751,45.57,32,79,28.83,80012249,102,102,0,"N/A"
