"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"JOBA MAJHI","SINGHBHUM","Jharkhand","Lok Sabha",147000000,59054467,40.17,0,118,0,87945533,127,127,0,"N/A"
"CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","Gujarat","Lok Sabha",147000000,59047027,40.17,100,109,47.85,87952973,210,208,2,"N/A"
"DEEPENDER SINGH HOODA","ROHTAK","Haryana","Lok Sabha",147000000,58916490,40.08,70,107,39.55,88083510,147,143,4,"N/A"
"Adv Dean Kuriakose","IDUKKI","Kerala","Lok Sabha",147000000,58754261,39.97,95,95,50,88245739,116,114,2,"N/A"
"Sunil Dattatray Tatkare","RAIGAD","Maharashtra","Lok Sabha",147000000,58660128,39.9,18,44,29.03,88339872,73,73,0,"N/A"
"Kanimozhi Karunanidhi","THOOTHUKKUDI","Tamil Nadu","Lok Sabha",147000000,58344698,39.69,12,39,23.53,88655302,34,33,1,"N/A"
"SHREYAS. M. PATEL","HASSAN","Karnataka","Lok Sabha",147000000,58328008,39.68,25,181,12.14,88671992,179,174,5,"N/A"
"Mitesh Rameshbhai Bakabhai Patel","ANAND","Gujarat","Lok Sabha",147000000,58303147,39.66,247,280,46.87,88696853,293,283,10,5
"DR C N MANJUNATH","BANGALORE RURAL","Karnataka","Lok Sabha",147000000,58047695,39.49,64,170,27.35,88952305,187,181,6,"N/A"
"BASAVARAJ BOMMAI","HAVERI","Karnataka","Lok Sabha",147000000,57936447,39.41,19,144,11.66,89063553,167,166,1,"N/A"
"Rahul Kaswan","CHURU","Rajasthan","Lok Sabha",147000000,57725218,39.27,37,206,15.23,89274782,540,515,25,"N/A"
"SUDAMA PRASAD","ARRAH","Bihar","Lok Sabha",147000000,57716958,39.26,66,153,30.14,89283042,86,86,0,"N/A"
"Vijay Baghel","DURG","Chhattisgarh","Lok Sabha",147000000,57650594,39.22,70,144,32.71,89349406,246,243,3,"N/A"
"BRIJENDRA SINGH OLA","JHUNJHUNU","Rajasthan","Lok Sabha",147000000,57494662,39.11,92,75,55.09,89505338,450,447,3,"N/A"
"DR. PRABHA MALLIKARJUN","DAVANAGERE","Karnataka","Lok Sabha",147000000,57444696,39.08,5,92,5.15,89555304,90,84,6,"N/A"
"Mala Rajya Laxmi Shah ","TEHRI GARHWAL","Uttarakhand","Lok Sabha",147000000,57285791,38.97,84,155,35.15,89714209,371,360,11,"N/A"
"Dr. Dinesh Sharma (2023-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,57084177,38.83,2,89,2.2,89915823,63,61,2,"N/A"
"GURMEET SINGH MEET HAYER","SANGRUR","Punjab","Lok Sabha",147000000,57080005,38.83,151,237,38.92,89919995,660,633,27,"N/A"
"Ravi Shankar Prasad","PATNA SAHIB","Bihar","Lok Sabha",147000000,56647683,38.54,60,24,71.43,90352317,66,66,0,"N/A"
"SUKHJINDER SINGH RANDHAWA","GURDASPUR","Punjab","Lok Sabha",147000000,56537028,38.46,90,237,27.52,90462972,398,395,3,"N/A"
"Smt Himadri Singh","SHAHDOL","Madhya Pradesh","Lok Sabha",150724861.11,57863796,38.39,45,124,26.63,92861065.11000001,168,165,3,"N/A"
"Shri Sanjay Seth (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,56357801,38.34,19,40,32.2,90642199,48,46,2,"N/A"
"RAMASHANKAR RAJBHAR","SALEMPUR","Uttar Pradesh","Lok Sabha",160056927.07,61281620,38.29,84,231,26.67,98775307.07,263,241,22,"N/A"
"PUSHPENDRA SAROJ","KAUSHAMBI","Uttar Pradesh","Lok Sabha",147000000,56198890,38.23,607,141,81.15,90801110,907,833,74,"N/A"
"Shri Neeraj Shekhar (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",236483662.11,90266672,38.17,41,186,18.06,146216990.11,176,176,0,"N/A"
"Pradan Baruah","LAKHIMPUR","Assam","Lok Sabha",147000000,56052727,38.13,33,115,22.3,90947273,174,174,0,"N/A"
"Rajeshbhai Naranbhai Chudasama","JUNAGADH","Gujarat","Lok Sabha",147000000,56040284,38.12,152,147,50.84,90959716,176,171,5,"N/A"
"Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","Karnataka","Lok Sabha",167541747.11,63865076,38.12,92,136,40.35,103676671.11000001,232,231,1,"N/A"
"Shri Jual Oram","SUNDARGARH","Odisha","Lok Sabha",173096756.91,65790931,38.01,89,111,44.5,107305825.91,270,250,20,"N/A"
"JYOTIRADITYA M. SCINDIA","GUNA","Madhya Pradesh","Lok Sabha",147000000,55870850,38.01,45,18,71.43,91129150,99,97,2,"N/A"
"Sanjay Kumar Bandi","KARIMNAGAR","Telangana","Lok Sabha",172775317.11,65663959,38.01,171,468,26.76,107111358.11000001,307,305,2,"N/A"
"TOKHAN SAHU","BILASPUR","Chhattisgarh","Lok Sabha",147000000,55824852,37.98,41,90,31.3,91175148,158,152,6,"N/A"
"ARUP CHAKRABORTY","BANKURA","West Bengal","Lok Sabha",147000000,55795450,37.96,40,30,57.14,91204550,42,42,0,"N/A"
"Saumitra khan ","BISHNUPUR","West Bengal","Lok Sabha",147000000,55661990,37.87,48,34,58.54,91338010,50,49,1,"N/A"
"ROBERT BRUCE C","TIRUNELVELI","Tamil Nadu","Lok Sabha",147475440.11,55819028,37.85,60,51,54.05,91656412.11000001,73,73,0,"N/A"
"Shri NK Premachandran","KOLLAM","Kerala","Lok Sabha",171477994.11,64475987,37.6,46,150,23.47,107002007.11000001,105,105,0,"N/A"
"ANITA NAGARSINGH CHOUHAN","RATLAM","Madhya Pradesh","Lok Sabha",147000000,55091448,37.48,74,129,36.45,91908552,228,226,2,"N/A"
"Shri Chandra Prakash Choudhary","GIRIDIH","Jharkhand","Lok Sabha",147000000,55034366,37.44,49,625,7.27,91965634,301,266,35,"N/A"
"Smt Dimple Yadav","MAINPURI","Uttar Pradesh","Lok Sabha",192042469.11,71677973,37.32,53,111,32.32,120364496.11000001,148,125,23,"N/A"
"Devusinh Jesingbhai Chauhan","KHEDA","Gujarat","Lok Sabha",147000000,54783374,37.27,247,341,42.01,92216626,292,292,0,"N/A"
"BUNTY VIVEK SAHU","CHHINDWARA","Madhya Pradesh","Lok Sabha",147000000,54579699,37.13,100,373,21.14,92420301,442,437,5,"N/A"
"Kani K Navas","RAMANATHAPURAM","Tamil Nadu","Lok Sabha",147000000,54425096,37.02,68,41,62.39,92574904,85,84,1,"N/A"
"Shri Anil Kumar Yadav Mandadi (2024-30)","Sitting Rajya Sabha","Telangana","Rajya Sabha",147000000,54363174,36.98,71,31,69.61,92636826,73,73,0,"N/A"
"RAVINDRA DATTARAM WAIKAR","MUMBAI NORTH WEST","Maharashtra","Lok Sabha",147000000,53799122,36.6,0,67,0,93200878,24,20,4,"N/A"
"Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Tamil Nadu","Lok Sabha",196905535.11,71998395,36.56,63,63,50,124907140.11000001,90,90,0,"N/A"
"GM Harish Balayogi","AMALAPURAM","Andhra Pradesh","Lok Sabha",147000000,53533502,36.42,41,68,37.61,93466498,66,66,0,"N/A"
"Dr. Ajeet Madhavrao Gopchade (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,53532752,36.42,44,48,47.83,93467248,52,52,0,"N/A"
"ESWARASAMY K","POLLACHI","Tamil Nadu","Lok Sabha",162315106.11,59028493,36.37,46,34,57.5,103286613.11000001,59,57,2,"N/A"
"BAG MITALI","ARAMBAG","West Bengal","Lok Sabha",147000000,53162451,36.16,87,97,47.28,93837549,100,96,4,"N/A"
"ZIA UR REHMAN","SAMBHAL","Uttar Pradesh","Lok Sabha",147000000,53111753,36.13,0,325,0,93888247,332,270,62,"N/A"
"DR DHARAMVIRA GANDHI","PATIALA","Punjab","Lok Sabha",147000000,52978687,36.04,54,275,16.41,94021313,1190,1182,8,"N/A"
"Faggan Singh Kulaste","MANDLA","Madhya Pradesh","Lok Sabha",151861648.41,54608168,35.96,31,268,10.37,97253480.41,286,286,0,"N/A"
"Ms Mahua Moitra","KRISHNANAGAR","West Bengal","Lok Sabha",159865046,57382120,35.89,21,34,38.18,102482926,49,49,0,"N/A"
"Dr. Syed Naseer Hussain (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147000000,52745755,35.88,3,59,4.84,94254245,44,44,0,"N/A"
"CHIRAG PASWAN","HAJIPUR","Bihar","Lok Sabha",147000000,52494828,35.71,47,66,41.59,94505172,55,53,2,"N/A"
"Maddila Gurumoorthy","TIRUPATI","Andhra Pradesh","Lok Sabha",180399007,64414143,35.71,110,181,37.8,115984864,167,149,18,"N/A"
"Dr. Radha Mohan Das Agrawal (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",203626524.67000002,72382614,35.55,15,30,33.33,131243910.67000002,54,53,1,"N/A"
"RUCHI VIRA","MORADABAD","Uttar Pradesh","Lok Sabha",147000000,52167110,35.49,165,108,60.44,94832890,559,559,0,"N/A"
"AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","Maharashtra","Lok Sabha",190289442,67522042,35.48,38,78,32.76,122767400,68,68,0,"N/A"
"BIPLAB KUMAR DEB","TRIPURA WEST","Tripura","Lok Sabha",147000000,51962677,35.35,7,24,22.58,95037323,26,26,0,"N/A"
"Smt Anupriya Patel","MIRZAPUR","Uttar Pradesh","Lok Sabha",147000000,51732584,35.19,0,10,0,95267416,10,10,0,"N/A"
"HARIBHAI PATEL","MAHESANA","Gujarat","Lok Sabha",147000000,51281778,34.89,150,427,26,95718222,268,261,7,"N/A"
"NARAYAN DAS AHIRWAR","JALAUN","Uttar Pradesh","Lok Sabha",147000000,51218010.8,34.84,36,331,9.81,95781989.2,292,289,3,1
"Vinod Chavda","KACHCHH","Gujarat","Lok Sabha",147000000,51051603,34.73,98,256,27.68,95948397,126,119,7,"N/A"
"ANUP SANJAY DHOTRE","AKOLA","Maharashtra","Lok Sabha",147000000,51045667,34.72,41,59,41,95954333,69,67,2,"N/A"
"Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Puducherry","Rajya Sabha",292881856.49,101658946,34.71,31,70,30.69,191222910.49,92,79,13,"N/A"
"Alok Kumar Suman","GOPALGANJ","Bihar","Lok Sabha",147000000,50920280,34.64,43,112,27.74,96079720,56,56,0,"N/A"
"DULU MAHATO","DHANBAD","Jharkhand","Lok Sabha",147000000,50907360,34.63,57,322,15.04,96092640,271,269,2,"N/A"
"SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","Gujarat","Lok Sabha",147000000,50880570,34.61,122,152,44.53,96119430,143,136,7,"N/A"
"MALVIKA DEVI","KALAHANDI","Odisha","Lok Sabha",147000000,50804998,34.56,96,224,30,96195002,130,130,0,"N/A"
"IQRA CHOUDHARY","KAIRANA","Uttar Pradesh","Lok Sabha",147000000,50723960,34.51,45,42,51.72,96276040,62,55,7,"N/A"
"SELVARAJ V","NAGAPATTINAM","Tamil Nadu","Lok Sabha",147000000,50673389,34.47,44,41,51.76,96326611,61,61,0,"N/A"
"Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","Uttarakhand","Lok Sabha",147000000,50626503,34.44,85,376,18.44,96373497,901,884,17,"N/A"
"BHUMARE SANDIPANRAO ASARAM","AURANGABAD","Maharashtra","Lok Sabha",147000000,50596352,34.42,27,65,29.35,96403648,37,36,1,"N/A"
"Vellalath Kochukrishnan Nair Sreekandan","PALAKKAD","Kerala","Lok Sabha",147000000,50584788,34.41,98,107,47.8,96415212,127,125,2,1
"SUNIL BOSE","CHAMARAJANAGAR","Karnataka","Lok Sabha",147000000,50427615,34.3,21,91,18.75,96572385,96,96,0,"N/A"
"Shri Sanjay Raut (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196063957.11,67167846,34.26,6,69,8,128896111.11000001,29,29,0,"N/A"
"Kangana Ranaut","MANDI","Himachal Pradesh","Lok Sabha",147000000,50240820,34.18,53,267,16.56,96759180,318,302,16,"N/A"
"CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Karnataka","Lok Sabha",147000000,50229304,34.17,75,131,36.41,96770696,104,95,9,"N/A"
"KALI CHARAN SINGH","CHATRA","Jharkhand","Lok Sabha",147000000,49787316,33.87,75,429,14.88,97212684,291,265,26,"N/A"
"SAYANI GHOSH","JADAVPUR","West Bengal","Lok Sabha",147000000,49785004,33.87,113,102,52.56,97214996,129,129,0,"N/A"
"Virendra Kumar","TIKAMGARH","Madhya Pradesh","Lok Sabha",147000000,49501421,33.67,12,347,3.34,97498579,219,212,7,"N/A"
"DR BYREDDY SHABARI","NANDYAL","Andhra Pradesh","Lok Sabha",150675889.11,50709419,33.65,70,129,35.18,99966470.11000001,116,116,0,"N/A"
"THANGA TAMILSELVAN","THENI","Tamil Nadu","Lok Sabha",147000000,49328291,33.56,24,72,25,97671709,56,50,6,"N/A"
"Shri Akhilesh Prasad Singh (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,62309563,33.46,38,18,67.86,123890437,50,48,2,"N/A"
"Shri vijayakumar Vasanth","KANNIYAKUMARI","Tamil Nadu","Lok Sabha",171500000,57305751,33.41,39,62,38.61,114194249,65,64,1,"N/A"
"Shri Ryaga Krishnaiah (2024-28)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",170413583.79,56605717,33.22,30,39,43.48,113807866.78999999,36,35,1,"N/A"
"Shri Jairam Ramesh (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",220563957.11,73253485,33.21,18,109,14.17,147310472.11,78,78,0,"N/A"
"CAPTAIN VIRIATO FERNANDES","SOUTH GOA","Goa","Lok Sabha",147000000,48358008,32.9,44,86,33.85,98641992,78,78,0,"N/A"
"AJENDRA SINGH LODHI","HAMIRPUR","Uttar Pradesh","Lok Sabha",147000000,48355823,32.9,19,172,9.95,98644177,104,85,19,"N/A"
"Smt Satabdi Roy (Banerjee)","BIRBHUM","West Bengal","Lok Sabha",147000000,48307379.6,32.86,62,35,63.92,98692620.4,67,67,0,"N/A"
"Jitendra Singh","UDHAMPUR","Jammu And Kashmir","Lok Sabha",147000000,48296699,32.85,187,141,57.01,98703301,221,217,4,"N/A"
"S Venkatesan","MADURAI","Tamil Nadu","Lok Sabha",147000000,48171006,32.77,46,81,36.22,98828994,71,69,2,"N/A"
"Dr. Kalpana Saini (2022-28)","Sitting Rajya Sabha","Uttarakhand","Rajya Sabha",200830405.8,65308088,32.52,58,131,30.69,135522317.8,159,152,7,"N/A"
"Smt S Jothimani","KARUR","Tamil Nadu","Lok Sabha",147000000,47711966,32.46,86,90,48.86,99288034,101,100,1,"N/A"
"Bhagirath Chaudhary","AJMER","Rajasthan","Lok Sabha",147000000,47473080,32.29,58,99,36.94,99526920,643,528,115,"N/A"
"Smt. Sagarika Ghose (2024-30)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",147000000,47289873,32.17,0,13,0,99710127,16,16,0,"N/A"
"Shri Janardan Singh Sigriwal ","MAHARAJGANJ","Bihar","Lok Sabha",147000000,47230253,32.13,18,56,24.32,99769747,45,43,2,"N/A"
"Smt Sajda Ahmed","ULUBERIA","West Bengal","Lok Sabha",147000000,47212277,32.12,91,88,50.84,99787723,111,109,2,"N/A"
"Shri Damodar Rao Divakonda (2022-28)","Sitting Rajya Sabha","Telangana","Rajya Sabha",239919406.11,77052481,32.12,110,185,37.29,162866925.11,195,194,1,"N/A"
"RAKIBUL HUSSAIN","DHUBRI","Assam","Lok Sabha",147000000,47053373,32.01,25,152,14.12,99946627,140,135,5,"N/A"
"DR.MALLU RAVI","NAGARKURNOOL","Telangana","Lok Sabha",147000000,47000729,31.97,143,84,63,99999271,156,156,0,"N/A"
"Sudip Bandyopadhyay","KOLKATA UTTAR","West Bengal","Lok Sabha",147000000,46311063,31.5,9,29,23.68,100688937,31,31,0,"N/A"
"BABU SINGH KUSHWAHA","JAUNPUR","Uttar Pradesh","Lok Sabha",147000000,46048017,31.33,522,164,76.09,100951983,650,529,121,"N/A"
"Kinjarapu Ram Mohan Naidu","SRIKAKULAM","Andhra Pradesh","Lok Sabha",171200630.11,53576961,31.29,60,155,27.91,117623669.11000001,102,101,1,"N/A"
"Shri Randeep Singh Surjewala (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,60881596,31.05,55,94,36.91,135182361.11,243,237,6,"N/A"
"Midhun Reddy","RAJAMPET","Andhra Pradesh","Lok Sabha",178951477.11,55215327,30.85,178,317,35.96,123736150.11000001,229,206,23,"N/A"
"AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","Andhra Pradesh","Lok Sabha",201899064.11,62202871,30.81,42,116,26.58,139696193.11,81,79,2,"N/A"
"GOVIND MAKTHAPPA KARJOL","CHITRADURGA","Karnataka","Lok Sabha",147000000,45195747,30.75,19,204,8.52,101804253,121,107,14,"N/A"
"Shri S.R. Sivalingam (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,27371677,30.67,9,40,18.37,61876608.42,25,25,0,"N/A"
"Shri Mohammed Nadimul Haque (2024-30)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",147000000,45077861,30.67,1,18,5.26,101922139,16,16,0,"N/A"
"HARENDRA SINGH MALIK","MUZAFFARNAGAR","Uttar Pradesh","Lok Sabha",147000000,45077485,30.66,32,183,14.88,101922515,140,121,19,"N/A"
"Kaushalendra Kumar","NALANDA","Bihar","Lok Sabha",147000000,44912846,30.55,91,74,55.15,102087154,95,92,3,"N/A"
"RAJABHAU","NASHIK","Maharashtra","Lok Sabha",152878682.11,46498714,30.42,21,89,19.09,106379968.11000001,49,45,4,"N/A"
"Ganesh Singh","SATNA","Madhya Pradesh","Lok Sabha",147000000,44570402,30.32,77,241,24.21,102429598,210,178,32,"N/A"
"H.D. KUMARASWAMY","MANDYA","Karnataka","Lok Sabha",147000000,44450000,30.24,7,140,4.76,102550000,127,117,10,"N/A"
"Smt. Mamata Thakur (2024-30)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",147000000,44446422,30.24,51,9,85,102553578,55,55,0,"N/A"
"Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Kerala","Rajya Sabha",310898953.29,93760670,30.16,120,248,32.61,217138283.29000002,164,163,1,"N/A"
"K. C VENUGOPAL","ALAPPUZHA","Kerala","Lok Sabha",147000000,44331588,30.16,37,52,41.57,102668412,67,67,0,"N/A"
"ARUNA. D. K","MAHABUBNAGAR","Telangana","Lok Sabha",147000000,44232038,30.09,127,195,39.44,102767962,153,153,0,"N/A"
"B K PARTHASARATHI","HINDUPUR","Andhra Pradesh","Lok Sabha",160491894.11,47797914,29.78,52,40,56.52,112693980.11000001,64,64,0,"N/A"
"Raju Bista","DARJEELING","West Bengal","Lok Sabha",147000000,43617451,29.67,73,96,43.2,103382549,92,92,0,"N/A"
"LOVELY ANAND","SHEOHAR","Bihar","Lok Sabha",147000000,43561211,29.63,24,67,26.37,103438789,39,37,2,"N/A"
"GANAPATHY RAJKUMAR P","COIMBATORE","Tamil Nadu","Lok Sabha",147370490.11,43662823,29.63,7,62,10.14,103707667.11000001,45,43,2,"N/A"
"Shri Amar Singh","FATEHGARH SAHIB","Punjab","Lok Sabha",147000000,43529649,29.61,60,289,17.19,103470351,526,523,3,"N/A"
"Putta Mahesh Kumar","ELURU","Andhra Pradesh","Lok Sabha",147000000,43504398,29.59,54,60,47.37,103495602,69,68,1,"N/A"
"DR. S P SINGH","PRATAPGARH","Uttar Pradesh","Lok Sabha",147000000,42783929,29.1,106,533,16.59,104216071,128,107,21,"N/A"
"Dr. Dharmasthala Veerendra Heggade (2022-28)","Nominated Rajya Sabha","Karnataka","Rajya Sabha",196063957.11,56879514,29.01,301,173,63.5,139184443.11,641,632,9,"N/A"
"S. Jagathrakshakan","ARAKKONAM","Tamil Nadu","Lok Sabha",180589332.34,52167418,28.89,34,130,20.73,128421914.34,54,52,2,"N/A"
"Shri Pabitra Margherita (2022-28)","Sitting Rajya Sabha","Assam","Rajya Sabha",220563957.11,63642733.44,28.85,5,205,2.38,156921223.67000002,112,110,2,"N/A"
"PHANI BHUSAN CHOUDHURY","BARPETA","Assam","Lok Sabha",147000000,42116247,28.65,3,84,3.45,104883753,104,98,6,"N/A"
"JITIN PRASADA","PILIBHIT","Uttar Pradesh","Lok Sabha",147000000,41842816,28.46,22,37,37.29,105157184,106,104,2,"N/A"
"SUKANTA KUMAR PANIGRAHI","KANDHAMAL","Odisha","Lok Sabha",190712424.11,54209040,28.42,148,202,42.29,136503384.11,352,347,5,"N/A"
"Dr Shashi Tharoor","THIRUVANANTHAPURAM","Kerala","Lok Sabha",147000000,41754577,28.4,40,74,35.09,105245423,61,61,0,"N/A"
"Shri Balyogi Umeshnath (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,41747000,28.4,11,67,14.1,105253000,83,80,3,"N/A"
"Dr. Medha Vishram Kulkarni (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,41737818,28.39,31,76,28.97,105262182,49,49,0,"N/A"
"Jagannath Sarkar","RANAGHAT","West Bengal","Lok Sabha",147000000,41712525,28.38,70,152,31.53,105287475,86,84,2,"N/A"
"Priyanka Gandhi Vadra","WAYANAD","Kerala","Lok Sabha",122500000,34714501,28.34,10,81,10.99,87785499,39,39,0,"N/A"
"Mahendra Singh Solanky","DEWAS","Madhya Pradesh","Lok Sabha",147000000,41462417,28.21,10,131,7.09,105537583,107,107,0,"N/A"
"Shri Banshilal Gurjar (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,41424435,28.18,10,71,12.35,105575565,94,93,1,"N/A"
"Smt. P. T. Usha (2022-28)","Nominated Rajya Sabha","Kerala","Rajya Sabha",196063957.11,55206130,28.16,39,83,31.97,140857827.11,77,76,1,"N/A"
"Shri Rajib Bhattacharjee (2024-28)","Sitting Rajya Sabha","Tripura","Rajya Sabha",122500000,34210580,27.93,18,40,31.03,88289420,39,37,2,"N/A"
"Sanjay Haribhau Jadhav","PARBHANI","Maharashtra","Lok Sabha",147000000,40999822,27.89,28,56,33.33,106000178,49,49,0,"N/A"
"GOPINATH K","KRISHNAGIRI","Tamil Nadu","Lok Sabha",147000000,40994453,27.89,36,77,31.86,106005547,56,56,0,"N/A"
"Shri LS Tejasvi Surya ","BANGALORE SOUTH","Karnataka","Lok Sabha",147000000,40913804,27.83,25,112,18.25,106086196,51,51,0,"N/A"
"M. MALLESH BABU","KOLAR","Karnataka","Lok Sabha",147065957.11,40766132,27.72,3,73,3.95,106299825.11000001,122,121,1,"N/A"
"Smt Hema Malini","MATHURA","Uttar Pradesh","Lok Sabha",147000000,40721168,27.7,33,55,37.5,106278832,82,82,0,"N/A"
"Nitin Jairam Gadkari","NAGPUR","Maharashtra","Lok Sabha",168195086.11,46558565,27.68,19,48,28.36,121636521.11000001,35,29,6,"N/A"
"ABHIJIT GANGOPADHYAY","TAMLUK","West Bengal","Lok Sabha",147000000,40622867.78,27.63,74,191,27.92,106377132.22,125,122,3,"N/A"
"BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Andhra Pradesh","Lok Sabha",159998515.11,44033277,27.52,143,65,68.75,115965238.11000001,145,145,0,"N/A"
"PARSHOTTAMBHAI RUPALA","RAJKOT","Gujarat","Lok Sabha",147000000,40230082,27.37,90,229,28.21,106769918,96,90,6,"N/A"
"GAURAV GOGOI","JORHAT","Assam","Lok Sabha",147000000,40009090,27.22,35,429,7.54,106990910,449,446,3,"N/A"
"KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","Karnataka","Lok Sabha",147000000,39870575,27.12,51,269,15.94,107129425,110,102,8,"N/A"
"Ravindra Vasantrao Chavan","NANDED","Maharashtra","Lok Sabha",147000000,39838293,27.1,26,115,18.44,107161707,49,47,2,"N/A"
"ATUL GARG","GHAZIABAD","Uttar Pradesh","Lok Sabha",155336470,42043789,27.07,36,41,46.75,113292681,49,43,6,"N/A"
"Dr. M. Dhanapal (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,23989964,26.88,27,24,52.94,65258321.42,34,34,0,"N/A"
"Shri Birendra Prasad Baishya (2025-31)","Sitting Rajya Sabha","Assam","Rajya Sabha",98000000,26290330,26.83,1,44,2.22,71709670,25,23,2,"N/A"
"KALYAN VAIJINATHRAO KALE","JALNA","Maharashtra","Lok Sabha",147000000,39254291,26.7,19,42,31.15,107745709,41,40,1,"N/A"
"BAPI HALDAR","MATHURAPUR","West Bengal","Lok Sabha",147000000,39006328,26.53,87,78,52.73,107993672,101,100,1,"N/A"
"SHIVRAJ SINGH CHOUHAN","VIDISHA","Madhya Pradesh","Lok Sabha",147000000,38851625,26.43,10,97,9.35,108148375,128,128,0,"N/A"
"Dr. L. Murugan (2024-30)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",147000000,38699774,26.33,6,32,15.79,108300226,40,39,1,"N/A"
"MAHIMA KUMARI MEWAR","RAJSAMAND","Rajasthan","Lok Sabha",183892143,48238044,26.23,26,109,19.26,135654099,272,267,5,"N/A"
"JASHUBHAI BHILUBHAI RATHVA","CHHOTA UDAIPUR","Gujarat","Lok Sabha",147000000,38424412,26.14,96,248,27.91,108575588,121,119,2,"N/A"
"Shri Kanad Purkayastha (2025-31)","Sitting Rajya Sabha","Assam","Rajya Sabha",98000000,25601397,26.12,0,50,0,72398603,34,31,3,"N/A"
"SAMBIT PATRA","PURI","Odisha","Lok Sabha",147000000,38354750,26.09,548,175,75.8,108645250,847,847,0,"N/A"
"ADHIKARI SOUMENDU","KANTHI","West Bengal","Lok Sabha",147000000,38304241,26.06,29,41,41.43,108695759,31,31,0,"N/A"
"Y S Avinash Reddy","KADAPA","Andhra Pradesh","Lok Sabha",156430260.11,40434883,25.85,57,243,19,115995377.11000001,87,85,2,"N/A"
"Shri A. A. Rahim (2022-28)","Sitting Rajya Sabha","Kerala","Rajya Sabha",220563957.11,56633403,25.68,17,58,22.67,163930554.11,36,36,0,"N/A"
"DEVESH CHANDRA THAKUR","SITAMARHI","Bihar","Lok Sabha",163809205.11,41894417,25.58,119,90,56.94,121914788.11000001,129,129,0,"N/A"
"MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP","Lakshadweep","Lok Sabha",153942460.41,39337535,25.55,2,26,7.14,114604925.41,20,20,0,"N/A"
"DR.K.SUDHAKAR","CHIKBALLAPUR","Karnataka","Lok Sabha",147000000,37553975,25.55,18,142,11.25,109446025,135,134,1,"N/A"
"Shri Sandosh Kumar P (2022-28)","Sitting Rajya Sabha","Kerala","Rajya Sabha",220563957.11,55957933,25.37,29,75,27.88,164606024.11,72,71,1,"N/A"
"Dr. Parmar Jashvantsinh Salamsinh (2024-30)","Sitting Rajya Sabha","Gujarat","Rajya Sabha",147000000,37139089,25.26,61,312,16.35,109860911,97,93,4,"N/A"
"Annpurna Devi ","KODARMA","Jharkhand","Lok Sabha",166665931.8,42079828,25.25,85,303,21.91,124586103.80000001,146,137,9,"N/A"
"Saptagiri Sankar Ulaka","KORAPUT","Odisha","Lok Sabha",269500000,67850166,25.18,159,416,27.65,201649834,235,231,4,"N/A"
"JUNE MALIAH","MEDINIPUR","West Bengal","Lok Sabha",147000000,36949288,25.14,7,24,22.58,110050712,27,25,2,"N/A"
"DHAVAL LAXMANBHAI PATEL","VALSAD","Gujarat","Lok Sabha",147000000,36923530,25.12,60,176,25.42,110076470,69,65,4,"N/A"
